max_l1,l1,cl1,p1,b1,c1,d1,d1_std,d11,d11_std,d12,d12_std,drop1
1,5,3,20.0,0.4,1,0.07944703102111816,0.001090588833352971,0,0,0.07944703102111816,0.001090588833352971,2
1,5,2,20.0,0.19999999999999996,1,0.08232498168945312,0.0011594295501708984,0,0,0.08232498168945312,0.0011594295501708984,3
1,5,3,20.0,0.19999999999999996,1,0.0829318364461263,0.0014057403303826123,0,0,0.0829318364461263,0.0014057403303826123,2
1,5,4,20.0,0.19999999999999996,1,0.22413694858551025,0.09050018820333049,0.2714446385701497,0.044365624377288033,0.0822138786315918,0.0,1
1,5,3,20.0,0.19999999999999996,1,0.08055345217386882,0.002190561190687164,0,0,0.08055345217386882,0.002190561190687164,2
1,5,2,20.0,0.19999999999999996,1,0.0811997652053833,0.0009845495223999023,0,0,0.0811997652053833,0.0009845495223999023,3
1,5,3,20.0,0,1,0.08147867520650227,0.002068204831019254,0,0,0.08147867520650227,0.002068204831019254,2
1,5,4,20.0,0,1,0.1684059500694275,0.09273995718641605,0.2555723190307617,0.0447697639465332,0.08123958110809326,0.0010563135147094727,1
1,5,2,20.0,0,1,0.14523625373840332,0.060967206954956055,0.20620346069335938,0.0,0.08426904678344727,0.0,3
1,5,3,20.0,0,1,0.08212780952453613,0.0006420628123518359,0,0,0.08212780952453613,0.0006420628123518359,2
1,5,3,20.0,0,1,0.22712945938110352,0.10219369390705757,0.29939091205596924,0.0004171133041381836,0.08260655403137207,0.0,2
1,5,5,40.0,1,1,0.1261312484741211,0.08707533600073505,0.3002769947052002,0.0,0.08259481191635132,0.0007322115866138417,0
1,5,5,40.0,1,1,0.13116979598999023,0.05843380057948012,0.20273256301879883,0.00012063980102539062,0.08346128463745117,0.0007639212053514721,0
1,5,5,40.0,1,1,0.1975712299346924,0.06819126744769524,0.22603768110275269,0.041962685622301,0.08370542526245117,0.0,0
1,5,5,40.0,1,1,0.16825480461120607,0.10690888911286675,0.2991691827774048,0.0010339021682739258,0.0809785525004069,0.002368795793981792,0
1,5,5,40.0,1,1,0.23496794700622559,0.08678023502900596,0.27378296852111816,0.043364524828528025,0.07970786094665527,0.0,0
1,5,3,40.0,0.8,1,0.12503981590270996,0.055983042795496735,0.2041943073272705,0.0,0.08546257019042969,0.0014410018920898438,2
1,5,4,40.0,0.8,1,0.11273980140686035,0.05190182469500817,0.202528715133667,0.0,0.0828101634979248,0.0029325144140332654,1
1,5,4,40.0,0.8,1,0.1356028914451599,0.09394828567626512,0.29830193519592285,0.0,0.08136987686157227,0.001869320389243363,1
1,5,3,40.0,0.8,1,0.15343157450358072,0.10044864901734178,0.2954864501953125,0.0,0.08240413665771484,0.00045371055603027344,2
1,5,3,40.0,0.8,1,0.08319465319315593,0.0019286352325876862,0,0,0.08319465319315593,0.0019286352325876862,2
1,5,3,40.0,0.6,1,0.15463129679361978,0.10055698832701843,0.29682421684265137,0.0,0.083534836769104,0.0018552541732788086,2
1,5,3,40.0,0.6,1,0.18601592381795248,0.14757716421337255,0.3947136402130127,0.0,0.08166706562042236,0.0015736818313598633,2
1,5,3,40.0,0.6,1,0.19357840220133463,0.08904040570310369,0.2503542900085449,0.04713582992553711,0.08002662658691406,0.0,2
1,5,3,40.0,0.6,1,0.2261486848195394,0.09729640824999386,0.29494690895080566,0.0005474090576171875,0.08855223655700684,0.0,2
1,5,3,40.0,0.6,1,0.08342266082763672,0.0013185554233714168,0,0,0.08342266082763672,0.0013185554233714168,2
1,5,3,40.0,0.4,1,0.19338552157084146,0.08755543908072455,0.24934685230255127,0.045868515968322754,0.08146286010742188,0.0,2
1,5,3,40.0,0.4,1,0.22554596265157065,0.09876166461075188,0.2953784465789795,0.001035451889038086,0.08588099479675293,0.0,2
1,5,3,40.0,0.4,1,0.2347562313079834,0.0420819559477348,0.2347562313079834,0.0420819559477348,0,0,2
1,5,3,40.0,0.4,1,0.15320881207784018,0.09851763485368385,0.29251718521118164,0.0,0.08355462551116943,0.001862645149230957,2
1,5,3,40.0,0.4,1,0.1926122506459554,0.08621224497648437,0.24701833724975586,0.04763150215148926,0.08380007743835449,0.0,2
1,5,3,40.0,0.19999999999999996,1,0.1559748649597168,0.10164568611182956,0.2997105121612549,0.0,0.08410704135894775,0.0016781091690063477,2
1,5,3,40.0,0.19999999999999996,1,0.08293739954630534,0.0020434734282821386,0,0,0.08293739954630534,0.0020434734282821386,2
1,5,3,40.0,0.19999999999999996,1,0.19167574246724448,0.08677715289911568,0.2461620569229126,0.04887878894805908,0.0827031135559082,0.0,2
1,5,3,40.0,0.19999999999999996,1,0.1555959383646647,0.10184206814433011,0.2995903491973877,0.0,0.08359873294830322,0.0026301145553588867,2
1,5,2,40.0,0.19999999999999996,1,0.08353769779205322,0.00012385845184326172,0,0,0.08353769779205322,0.00012385845184326172,3
1,5,2,40.0,0,1,0.1850062608718872,0.10704314708709717,0.2920494079589844,0.0,0.07796311378479004,0.0,3
1,6,4,40.0,0,1,0.24098455905914307,0.09245702923794,0.2943526903788249,0.002259773983059881,0.08088016510009766,0.0,2
1,4,3,40.0,0,1,0.15242751439412436,0.09850137197670289,0.29172205924987793,0.0,0.08278024196624756,0.0012460947036743164,1
1,5,3,40.0,0,1,0.19162964820861816,0.08657585373366827,0.24668335914611816,0.0463716983795166,0.08152222633361816,0.0,2
1,5,3,40.0,0,1,0.22241497039794922,0.09773448738308675,0.29152143001556396,0.000967860221862793,0.08420205116271973,0.0,2
1,5,5,60.0,1,1,0.2095500946044922,0.1012160564214553,0.2921903133392334,0.0009013202612236126,0.08558976650238037,0.00048482418060302734,0
1,5,5,60.0,1,1,0.21102218627929686,0.07688403506609837,0.24288779497146606,0.04808178941599472,0.08355975151062012,0.0,0
1,5,5,60.0,1,1,0.1931467056274414,0.06734553056871767,0.2212771773338318,0.0413842774173654,0.08062481880187988,0.0,0
1,5,5,60.0,1,1,0.10285630226135253,0.044390308949570925,0.1914505958557129,0.0,0.08070772886276245,0.003213703912043415,0
1,5,5,60.0,1,1,0.127294921875,0.056448984126884705,0.19642364978790283,0.0005720853805541992,0.08120910326639812,0.000915497175300213,0
